id_codigo_depart;id_nivel_esco;anio;num_poblacion;tipo_metrica;tasa
85,;1,;2015,;87417;Desercion;4,13%
85,;1,;2016,;88003;Desercion;4,01%
85,;1,;2017,;88626;Desercion;2,98%
85,;1,;2018,;92859;Desercion;3,08%
85,;1,;2019,;93431;Desercion;3,96%
85,;1,;2020,;93855;Desercion;2,14%
85,;1,;2021,;93896;Desercion;3,34%
85,;1,;2022,;95609;Desercion;4,67%
85,;1,;2023,;96200;Desercion;3,62%
86,;1,;2011,;93828;Desercion;3,24%
86,;1,;2012,;93570;Desercion;6,05%
86,;1,;2013,;92887;Desercion;6,25%
86,;1,;2014,;92368;Desercion;4,1%
86,;1,;2015,;91874;Desercion;6,29%
86,;1,;2016,;91441;Desercion;7,57%
86,;1,;2017,;91161;Desercion;5,74%
86,;1,;2018,;80972;Desercion;4,86%
86,;1,;2019,;80890;Desercion;5,81%
86,;1,;2020,;80810;Desercion;4,49%
86,;1,;2021,;80699;Desercion;7,26%
86,;1,;2022,;81190;Desercion;5,78%
86,;1,;2023,;81178;Desercion;5,36%
88,;1,;2011,;15852;Desercion;0,84%
88,;1,;2012,;15648;Desercion;1,21%
88,;1,;2013,;15536;Desercion;0,93%
88,;1,;2014,;15395;Desercion;2,11%
88,;1,;2015,;15265;Desercion;0,29%
88,;1,;2016,;15167;Desercion;1,09%
88,;1,;2017,;15106;Desercion;0,75%
88,;1,;2018,;10853;Desercion;1,61%
88,;1,;2019,;11002;Desercion;1,31%
88,;1,;2020,;11169;Desercion;1,26%
88,;1,;2021,;11312;Desercion;0,5%
88,;1,;2022,;10796;Desercion;1,63%
88,;1,;2023,;10783;Desercion;2,72%
91,;1,;2011,;22223;Desercion;5,56%
91,;1,;2012,;22194;Desercion;5,16%
91,;1,;2013,;22123;Desercion;3,16%
91,;1,;2014,;22167;Desercion;2,97%
91,;1,;2015,;22212;Desercion;4,54%
91,;1,;2016,;22243;Desercion;5,23%
91,;1,;2017,;22269;Desercion;6,38%
91,;1,;2018,;22257;Desercion;5,31%
91,;1,;2019,;22435;Desercion;6,4%
91,;1,;2020,;22563;Desercion;6,46%
91,;1,;2021,;22670;Desercion;6,93%
91,;1,;2022,;23239;Desercion;6,08%
91,;1,;2023,;23247;Desercion;5,31%
94,;1,;2011,;11920;Desercion;10,%
94,;1,;2012,;11920;Desercion;9,43%
94,;1,;2013,;11918;Desercion;3,56%
94,;1,;2014,;11916;Desercion;4,59%
94,;1,;2015,;11913;Desercion;6,62%
94,;1,;2016,;11935;Desercion;9,63%
94,;1,;2017,;11965;Desercion;9,35%
94,;1,;2018,;15766;Desercion;9,88%
94,;1,;2019,;15808;Desercion;6,34%
94,;1,;2020,;15771;Desercion;5,18%
94,;1,;2021,;15643;Desercion;8,53%
94,;1,;2022,;16612;Desercion;6,62%
94,;1,;2023,;16704;Desercion;5,7%
95,;1,;2011,;31133;Desercion;5,54%
95,;1,;2012,;31272;Desercion;4,11%
95,;1,;2013,;31276;Desercion;3,63%
95,;1,;2014,;31344;Desercion;2,35%
95,;1,;2015,;31553;Desercion;4,68%
95,;1,;2016,;31671;Desercion;5,32%
95,;1,;2017,;31876;Desercion;6,13%
95,;1,;2018,;21118;Desercion;4,01%
95,;1,;2019,;21301;Desercion;6,67%
95,;1,;2020,;21482;Desercion;3,09%
95,;1,;2021,;21658;Desercion;7,06%
95,;1,;2022,;22538;Desercion;5,62%
95,;1,;2023,;22896;Desercion;7,97%
97,;1,;2011,;12690;Desercion;7,22%
97,;1,;2012,;12681;Desercion;9,09%
97,;1,;2013,;12659;Desercion;11,55%
97,;1,;2014,;12699;Desercion;3,18%
97,;1,;2015,;12684;Desercion;6,79%
97,;1,;2016,;12654;Desercion;6,37%
97,;1,;2017,;12668;Desercion;8,77%
97,;1,;2018,;15363;Desercion;4,93%
97,;1,;2019,;15675;Desercion;4,82%
97,;1,;2020,;15910;Desercion;2,88%
97,;1,;2021,;16081;Desercion;5,06%
97,;1,;2022,;15585;Desercion;4,43%
97,;1,;2023,;15476;Desercion;2,13%
99,;1,;2011,;20360;Desercion;8,82%
99,;1,;2012,;20686;Desercion;7,59%
99,;1,;2013,;20977;Desercion;7,4%
99,;1,;2014,;21331;Desercion;3,%
99,;1,;2015,;21644;Desercion;10,14%
99,;1,;2016,;21951;Desercion;10,14%
99,;1,;2017,;22282;Desercion;9,47%
99,;1,;2018,;32951;Desercion;7,39%
99,;1,;2019,;33198;Desercion;7,%
99,;1,;2020,;33298;Desercion;2,88%
99,;1,;2021,;33183;Desercion;4,5%
99,;1,;2022,;33949;Desercion;5,15%
99,;1,;2023,;33816;Desercion;5,84%
5,;2,;2011,;1288473;Desercion;3,65%
5,;2,;2012,;1278686;Desercion;3,06%
5,;2,;2013,;1272458;Desercion;5,3%
5,;2,;2014,;1266533;Desercion;2,93%
5,;2,;2015,;1262800;Desercion;2,24%
5,;2,;2016,;1265147;Desercion;3,92%
5,;2,;2017,;1270105;Desercion;3,56%
5,;2,;2018,;1147598;Desercion;1,96%
5,;2,;2019,;1149985;Desercion;7,36%
5,;2,;2020,;1151149;Desercion;4,08%
5,;2,;2021,;1149861;Desercion;2,99%
5,;2,;2022,;1134099;Desercion;4,24%
5,;2,;2023,;1131546;Desercion;3,2%
8,;2,;2011,;523935;Desercion;6,31%
8,;2,;2012,;523911;Desercion;3,45%
8,;2,;2013,;522832;Desercion;5,58%
8,;2,;2014,;521917;Desercion;9,67%
8,;2,;2015,;520783;Desercion;5,15%
8,;2,;2016,;519509;Desercion;4,52%
8,;2,;2017,;518257;Desercion;3,77%
8,;2,;2018,;521630;Desercion;2,87%
8,;2,;2019,;533666;Desercion;5,5%
8,;2,;2020,;542750;Desercion;4,34%
8,;2,;2021,;546055;Desercion;3,73%
8,;2,;2022,;544473;Desercion;1,86%
8,;2,;2023,;545813;Desercion;3,4%
11,;2,;2011,;1479334;Desercion;3,61%
11,;2,;2012,;1470171;Desercion;3,03%
11,;2,;2013,;1466854;Desercion;3,67%
11,;2,;2014,;1460379;Desercion;10,73%
11,;2,;2015,;1455309;Desercion;8,91%
11,;2,;2016,;1453283;Desercion;8,72%
11,;2,;2017,;1452849;Desercion;8,77%
11,;2,;2018,;1179282;Desercion;3,5%
11,;2,;2019,;1181531;Desercion;3,59%
11,;2,;2020,;1181597;Desercion;3,42%
11,;2,;2021,;1174274;Desercion;3,25%
11,;2,;2022,;1150474;Desercion;2,38%
11,;2,;2023,;1141573;Desercion;3,98%
13,;2,;2011,;496676;Desercion;6,92%
13,;2,;2012,;495108;Desercion;3,04%
13,;2,;2013,;492500;Desercion;5,28%
13,;2,;2014,;490573;Desercion;2,48%
13,;2,;2015,;488886;Desercion;2,17%
13,;2,;2016,;487274;Desercion;1,74%
13,;2,;2017,;486067;Desercion;3,97%
13,;2,;2018,;455784;Desercion;6,2%
13,;2,;2019,;461988;Desercion;4,91%
13,;2,;2020,;466941;Desercion;5,06%
13,;2,;2021,;469046;Desercion;1,54%
13,;2,;2022,;464305;Desercion;4,49%
13,;2,;2023,;464501;Desercion;5,33%
15,;2,;2011,;300501;Desercion;5,74%
15,;2,;2012,;297132;Desercion;3,79%
15,;2,;2013,;292312;Desercion;4,77%
15,;2,;2014,;288366;Desercion;4,39%
15,;2,;2015,;284611;Desercion;3,74%
15,;2,;2016,;279627;Desercion;4,72%
15,;2,;2017,;275027;Desercion;5,44%
15,;2,;2018,;234116;Desercion;5,63%
15,;2,;2019,;234368;Desercion;1,12%
15,;2,;2020,;234540;Desercion;2,3%
15,;2,;2021,;234348;Desercion;8,18%
15,;2,;2022,;234191;Desercion;5,37%
15,;2,;2023,;233865;Desercion;6,62%
17,;2,;2011,;201185;Desercion;4,41%
17,;2,;2012,;198526;Desercion;2,94%
17,;2,;2013,;196982;Desercion;3,55%
17,;2,;2014,;195455;Desercion;3,1%
17,;2,;2015,;194108;Desercion;2,58%
17,;2,;2016,;192703;Desercion;1,78%
17,;2,;2017,;191444;Desercion;3,36%
17,;2,;2018,;162391;Desercion;6,69%
17,;2,;2019,;161892;Desercion;3,4%
17,;2,;2020,;161746;Desercion;4,32%
17,;2,;2021,;161737;Desercion;1,96%
17,;2,;2022,;159847;Desercion;2,61%
17,;2,;2023,;159795;Desercion;4,29%
18,;2,;2011,;124148;Desercion;3,27%
18,;2,;2012,;124622;Desercion;5,69%
18,;2,;2013,;124458;Desercion;3,13%
18,;2,;2014,;124473;Desercion;3,83%
18,;2,;2015,;124382;Desercion;3,07%
18,;2,;2016,;124296;Desercion;3,11%
18,;2,;2017,;124222;Desercion;4,3%
18,;2,;2018,;98639;Desercion;3,69%
